query,lang_from,lang_to,mode,concept,position,lang,word,score,d,relation
vida,pt,en,Hibrido,VIDA,3,en,living,0.252448,0.273,related
vida,pt,en,Hibrido,VIDA,4,en,home,0.689896,0.799,None
vida,pt,en,Hibrido,VIDA,5,en,river,0.749589,0.895,None
vida,pt,en,Legado,VIDA,1,en,food,,,
vida,pt,en,Legado,VIDA,2,en,food,,,
life,en,pt,Hibrido,VIDA,1,pt,vida,0.0383,0.0,same
life,en,pt,Hibrido,VIDA,2,pt,biografia,0.151991,0.136,related
life,en,pt,Hibrido,VIDA,3,pt,viver,0.247782,0.273,related
life,en,pt,Hibrido,VIDA,4,pt,lar,0.695596,0.799,None
life,en,pt,Hibrido,VIDA,5,pt,paixão,0.754333,0.875,None
existência,pt,en,Hibrido,VIDA,1,en,existence,0.8304,1.0,None
existência,pt,en,Hibrido,VIDA,2,en,water,0.8456,1.0,None
existência,pt,en,Hibrido,VIDA,3,en,foodstuff,0.8477,1.0,None
existência,pt,en,Hibrido,VIDA,4,en,residence,0.848833,1.0,None
existência,pt,en,Hibrido,VIDA,5,en,nutrient,0.849267,1.0,None
luz,pt,en,Hibrido,OUTROS,1,en,food,0.852367,1.0,None
luz,pt,en,Hibrido,OUTROS,2,en,living,0.8528,1.0,None
luz,pt,en,Hibrido,OUTROS,3,en,dwelling,0.853424,1.0,None
luz,pt,en,Hibrido,OUTROS,4,en,life,0.8541,1.0,None
luz,pt,en,Hibrido,OUTROS,5,en,river,0.855667,1.0,None
eau,fr,pt,Hibrido,AGUA,1,pt,água,0.083067,0.0,same
eau,fr,pt,Hibrido,AGUA,2,pt,mar,0.21129,0.179,related
eau,fr,pt,Hibrido,AGUA,3,pt,riacho,0.368396,0.37,related
eau,fr,pt,Hibrido,AGUA,4,pt,alimento,0.545653,0.599,None
eau,fr,pt,Hibrido,AGUA,5,pt,nutriente,0.563042,0.599,None
Wasser,de,en,Hibrido,AGUA,1,en,water,0.047133,0.0,same
Wasser,de,en,Hibrido,AGUA,2,en,sea,0.200124,0.179,related
Wasser,de,en,Hibrido,AGUA,3,en,river,0.33893,0.37,related
Wasser,de,en,Hibrido,AGUA,4,en,nutrient,0.518756,0.599,None
Wasser,de,en,Hibrido,AGUA,5,en,foodstuff,0.521575,0.599,None
maison,fr,en,Hibrido,CASA,1,en,water,0.852033,1.0,None
maison,fr,en,Hibrido,CASA,2,en,existence,0.8561,1.0,None
maison,fr,en,Hibrido,CASA,3,en,home,0.858733,1.0,None
maison,fr,en,Hibrido,CASA,4,en,biography,0.859567,1.0,None
maison,fr,en,Hibrido,CASA,5,en,foodstuff,0.860067,1.0,None
carro,pt,en,Hibrido,OUTROS,1,en,waters,0.839033,1.0,None
carro,pt,en,Hibrido,OUTROS,2,en,devotion,0.845167,1.0,None
carro,pt,en,Hibrido,OUTROS,3,en,biography,0.845222,1.0,None
carro,pt,en,Hibrido,OUTROS,4,en,home,0.8455,1.0,None
carro,pt,en,Hibrido,OUTROS,5,en,water,0.846933,1.0,None
felicidade,pt,en,Hibrido,OUTROS,1,en,life,0.834652,1.0,None
felicidade,pt,en,Hibrido,OUTROS,2,en,residence,0.836318,1.0,None
felicidade,pt,en,Hibrido,OUTROS,3,en,existence,0.838085,1.0,None
felicidade,pt,en,Hibrido,OUTROS,4,en,waters,0.839797,1.0,None
felicidade,pt,en,Hibrido,OUTROS,5,en,dwelling,0.840397,1.0,None
